Date,Content,Video title,Video publish time,Duration,Views
2026-08-17,7yx64bafaHM,The Data Preprocessing Blueprint | Bank Fraud Detection with Python | NorthBridge Bank Project #4,"Aug 4, 2026",367,0
2026-08-18,7yx64bafaHM,The Data Preprocessing Blueprint | Bank Fraud Detection with Python | NorthBridge Bank Project #4,"Aug 4, 2026",367,0
2026-08-19,7yx64bafaHM,The Data Preprocessing Blueprint | Bank Fraud Detection with Python | NorthBridge Bank Project #4,"Aug 4, 2026",367,0
2026-08-20,7yx64bafaHM,The Data Preprocessing Blueprint | Bank Fraud Detection with Python | NorthBridge Bank Project #4,"Aug 4, 2026",367,0
2026-08-21,7yx64bafaHM,The Data Preprocessing Blueprint | Bank Fraud Detection with Python | NorthBridge Bank Project #4,"Aug 4, 2026",367,1
2026-08-22,7yx64bafaHM,The Data Preprocessing Blueprint | Bank Fraud Detection with Python | NorthBridge Bank Project #4,"Aug 4, 2026",367,0
2026-08-23,7yx64bafaHM,The Data Preprocessing Blueprint | Bank Fraud Detection with Python | NorthBridge Bank Project #4,"Aug 4, 2026",367,0
2026-08-17,93IAE3ZN5Vo,Why Most Fraud Analysis Fails | Bank Fraud Detection with Python | NorthBridge Bank Project #1,"Jul 27, 2026",334,1
2026-08-18,93IAE3ZN5Vo,Why Most Fraud Analysis Fails | Bank Fraud Detection with Python | NorthBridge Bank Project #1,"Jul 27, 2026",334,1
2026-08-19,93IAE3ZN5Vo,Why Most Fraud Analysis Fails | Bank Fraud Detection with Python | NorthBridge Bank Project #1,"Jul 27, 2026",334,0
2026-08-20,93IAE3ZN5Vo,Why Most Fraud Analysis Fails | Bank Fraud Detection with Python | NorthBridge Bank Project #1,"Jul 27, 2026",334,1
2026-08-21,93IAE3ZN5Vo,Why Most Fraud Analysis Fails | Bank Fraud Detection with Python | NorthBridge Bank Project #1,"Jul 27, 2026",334,0
2026-08-22,93IAE3ZN5Vo,Why Most Fraud Analysis Fails | Bank Fraud Detection with Python | NorthBridge Bank Project #1,"Jul 27, 2026",334,3
2026-08-23,93IAE3ZN5Vo,Why Most Fraud Analysis Fails | Bank Fraud Detection with Python | NorthBridge Bank Project #1,"Jul 27, 2026",334,1
2026-08-17,tbnHq4WFZlY,Inspecting the Fraud Dataset | Bank Fraud Detection with Python | NorthBridge Bank Project #5,"Aug 4, 2026",357,1
2026-08-18,tbnHq4WFZlY,Inspecting the Fraud Dataset | Bank Fraud Detection with Python | NorthBridge Bank Project #5,"Aug 4, 2026",357,0
2026-08-19,tbnHq4WFZlY,Inspecting the Fraud Dataset | Bank Fraud Detection with Python | NorthBridge Bank Project #5,"Aug 4, 2026",357,0
2026-08-20,tbnHq4WFZlY,Inspecting the Fraud Dataset | Bank Fraud Detection with Python | NorthBridge Bank Project #5,"Aug 4, 2026",357,0
2026-08-21,tbnHq4WFZlY,Inspecting the Fraud Dataset | Bank Fraud Detection with Python | NorthBridge Bank Project #5,"Aug 4, 2026",357,1
2026-08-22,tbnHq4WFZlY,Inspecting the Fraud Dataset | Bank Fraud Detection with Python | NorthBridge Bank Project #5,"Aug 4, 2026",357,1
2026-08-23,tbnHq4WFZlY,Inspecting the Fraud Dataset | Bank Fraud Detection with Python | NorthBridge Bank Project #5,"Aug 4, 2026",357,0
