name,bio,location,investment_stages,investment_markets,portfolio_companies
Aadil Ebrahim,,singapore,seed,,
Aadil Mamujee,"Aadil has spent the last decade working in technology in Europe and USA. He was most recently VP of Product Management at Pocket Gems, a mobile entertainment company, where he was one of the founding employees and first product manager. He helped grow the company profitably to 200+ staff and 200M users. Previously Aadil worked in the early-stage investment team at Index Ventures and at Google in London. Aadil has a MEng from Cambridge University and an MBA from Harvard Business School. Aadil was born and raised in Mombasa, Kenya.",new-york-new-york,"Pre-Seed, Seed, seed, Series A","fintech,healthcare,agtech-food,edtech",
Aaél Ma PJ,"Founder, Happiest Community (happiestcommunity.com), Happiest Work (happiestwork.com)",malibu-california,"early_stage_venture, seed",,
Aakash Anand,Aakash Anand is the Founder of Unikon.ai. He previously worked at Square Yards as a VP and Head of SquareConnect. Aakash Anand attended Northumbria University.,gurgaon-haryana,,,
Aakash Kumar,"So many ups and downs in life from financial, depression and others. I always come out with a better version of myself due to my hunger, passion, and attitude that keeps me saying ""I am down but the race will be over when I want it to be over. I am a believer to improve myself on daily basis.""

My hunger for more makes me unique and a better leader because success is a journey, not a milestone and I want to reach the pinnacle.

The interesting part about me is I can't be easily satisfied because my brain keeps taunting me, is that your best? 
I believe that I am not like others. I am different, one of my kind.

When I was in my teens I played for UPCA under-16, under-19 after that coming to engineering and got the attention in technology industry when I cracked Microsoft latest Operating System Windows 10 after that, Microsoft Corp. offered me a job at their Head Quarter Redmond - Washington DC.
At the same time due to some of my works in the technology industry, media compared me with - Satya Nadela CEO Microsoft, Sundar Pichai CEO Google, Steve Jobs Founder Apple.Inc and Bill Gates Founder Microsoft.Inc.
That flashing news was one of the reasons that I didn't join Microsoft. Although the bigger reason was something else.

My passion is to provide excellent & meaningful innovations to the world, in a manner that generates fair and equitable returns, and superior value to users.

There are 2 categories I found ""first - who do the change"" & ""second - who see the change"", and my purpose of doing everything is to be in the first category.

I love helping people, governments, universities, and organizations with my knowledge.

People will see the changes in their life soon, I and my team are working on it with all the passion to make their life happier and easier.

Thanks for your time

""One of my kind.""",noida-uttar-pradesh,,,
Aakash Moondhra,"A Chartered Accountant and Company Secretary, Moondhra is also an MBA from the Southern Methodist University - Cox School of Business, in the US with Beta Gamma Sigma Honors. Previously, he worked as the CFO of Snapdeal, where he was also responsible for Legal, Corporate Affairs, Internal Controls and Risk. During his time at Snapdeal, Moondhra contributed to their 100X growth in GMV, raised USD 1 billion from marquee investors and closed multiple acquisitions. Over the last 20 years, Moondhra has worked with ANZ Grindlays Bank, Andersen Consulting, AT&T and Bharti Group in various roles and even spent time as an entrepreneur selling readymade kitchens in India.",amsterdam-noord-holland,,fintech,
Aakash Sachdev,"Aakash Sachdev is based out of Mumbai, Maharashtra and is the Managing Partner and Founder of Sky Impact Capital. Aakash previously worked at Edunation Services Pvt. Ltd. as a Co-Founder. Aakash Sachdev attended the University of Michigan - Stephen M. Ross School of Business.",mumbai-maharashtra,,,
Aakash Tulsani,"Aakash Tulsani is a Senior Principal at B Capital. Prior to B Capital, Aakash was a Principal at The Parthenon Group specializing in private equity diligence and strategy projects across emerging markets – leading teams across SE Asia, China, and Africa.

Aakash holds a Bachelor in Engineering from IIT Delhi and an MBA from Chicago Booth School of Business.",singapore,,"saas-enterprise,ai-ml,edtech",
Aakrit Vaish,"Aakrit Vaish is the co-founder and CEO of Haptik, who pioneered the wave of conversational AI starting back in 2013. Today, Haptik is one of the world's largest companies in the space with offices in New York, Los Angeles, Mumbai, Singapore, and clients that include names such as KFC, Starhub, Zurich Insurance, Ola Cabs, Hotstar, Oyo Rooms, Kotak Life. In April 2019, Reliance Industries acquired the majority shareholding in the company in a $100 million transaction, making Haptik one of the highest valued AI companies globally. Outside of Haptik, Aakrit is an investor in startups in the areas of consumer/consumer tech and B2B SaaS. Notable investments include Unacademy (valued at >$200 million), Pepper Content, Park+, Flat White Capital, Third Wave Coffee, Ayoconnect, Boxhub, Dataweave, Haikujam (Ligthtbox backed), Flatchat (sold to Commonfloor in 2014), Tookitaki, Dil Mil, Ayopop, iON Energy, Talent Litmus, among others.

Prior to Haptik,Aakrit was an early member of the team at Flurry, one of the world's largest mobile analytics and advertising platforms, acquired by Yahoo in 2014. Aakrit received his BS in Industrial Engineering from the University of Illinois, Urbana Champaign and was named as a contender to the Forbes India 30 under 30 list in 2015.",mumbai-maharashtra,seed,,
Aakshat Nimavat,"At Website Design Johannesburg, our team of innovators and digital marketers in tech and design bring skills above and beyond the ordinary to every project.

We have designed and developed numerous websites to a detailed specification for many clients across the South Africa.",south-africa,early_stage_venture,,
A Alberto Lugo,"A. Alberto Lugo, as the CEO and Founder of Framing Futures Architectural Firm (FFAF), has been instrumental in steering the firm toward success since 2019. Positioned in Southern California, he expertly manages the firm's daily operations and the intricate design processes accompanying the array of projects FFAF is renowned for. His role involves close coordination with a board of executives to recruit and mentor top-tier architects, fostering a culture of innovation in designing state-of-the-art commercial and public buildings. Before embarking on his entrepreneurial journey with FFAF, he distinguished himself in architecture, dedicating ten years as a Senior Architect at several leading firms. His extensive experience includes tenure at Parkins and Rhodon in New York and Fentrell Architects in San Francisco. His formative years in the profession were spent at a company founded by his father in 1990, where he evolved from an intern to a Project Architect. Preceding his architectural pursuits, he provided consultancy services to a small business development firm in New York City.

His academic foundation was laid at the University of Pennsylvania, where he earned a Bachelor of Business. However, his passion for architectural design prompted a shift in his career path, leading him to Cornell University to pursue a Master of Architecture, a degree he earned with honors. His quest for knowledge continued with advanced studies in Building Science and Technology and a further specialization in Environmental Systems. Throughout his career, which spans over twenty years, A. Alberto Lugo has made significant contributions to numerous prestigious architectural endeavors, including in Eastchester, NY. His notable collaborations include working with the San Francisco Historic Buildings Committee and designing a pioneering sustainable structure for the Hagman's Group of NYC. During his tenure at previous firms, he led the design of a comprehensive shopping center, conceptualized a multi-story religious tower, and played a vital role in developing affordable housing in collaboration with urban development teams, with additional impactful projects in Eastchester.

Renovations with the San Francisco Historic Buildings Committee (2012)

In 2012, A. Alberto Lugo embarked on one of his most defining projects — a collaboration with the San Francisco Historic Buildings Committee to revitalize key public service spaces in the city. This project was not just an architectural challenge; it was an opportunity to blend modern design principles with the preservation of historical character, a task that required both technical expertise and creative vision.

Lugo's role in the project involved overseeing the renovation of several century-old municipal buildings. Each structure presented unique challenges, from deteriorating facades to outdated interiors that no longer served the community's needs. Rather than imposing modern designs that would clash with the original architecture, he focused on honoring the past while adapting the spaces to meet contemporary standards. His approach involved meticulous research into the architectural history of San Francisco, ensuring that every alteration would remain faithful to the spirit of the original designs.

One critical aspect of the renovation was upgrading the buildings to align with modern environmental standards. Lugo incorporated sustainable elements such as energy-efficient lighting, reclaimed wood, and advanced water-saving technologies. These updates helped maintain the structures' historical integrity while making them more eco-friendly and functional for public use.

Lugo's leadership extended beyond design. He worked closely with local authorities, preservationists, and contractors to navigate the complexities of city regulations. His ability to balance stakeholders' expectations with the demands of urban development earned him respect from both the committee and the community.

This project was a defining moment in A. Alberto Lugo's career, reinforcing his philosophy that architecture should bridge the past and future while serving the environment. The completed renovations were widely praised for their seamless integration of modern functionality and historic charm, transforming the spaces into hubs of community engagement. His work with the San Francisco Historic Buildings Committee exemplifies his commitment to sustainable design, historic preservation, and urban revitalization, setting a new standard for future architectural endeavors.",greenwich-connecticut,,,
Aamer Naeem,"Aamer Naeem is the Director of Innov8 Creative Solutions Ltd, a consultancy providing strategic and operational support to a range of organizations as well as delivers Leadership Development Programmes across public, private and voluntary sectors.",united-kingdom,,,
Aamir Naik,"Aamir Naik is an Indian singer from district Ramban of Jammu and Kashmir India.He recently debut from a music video FARAK and UDAAN.Aamir Naik is a famous Indian Tech YouTuber, singer, musician, actor, and internet celebrity born in Ramban, India.Aamir Naik was born in Ramban,Jammu and Kashmir. His father’s name is Shahijahan Naik and his mother’s name is Gulshan Begum is a housewife.At the age of 16, he made his own identity in YouTube as a Tech YouTuber “Aamir Naik Music” in Jammu,where Aamir used to make videos related to music, but in the year 2017 due to YouTube’s community guidelines, Aamir channel Suspended by YouTube. Over 40,000 subscribers were lost overnight, meaning Aamir Naik channel was suspended by YouTube and aamir used to simultaneously edit music videos for Jammu’s music company. Aamir Naik also made his musical interest together, after which in the year 2018, aamir made a mashup song of FARAK song which became quite popular. After which, Aamir Naik became a musician keeping his interest in music. Apart from this, Aamir has also made a film like (Dark Web: FARAK, Ek Pyaar, etc.) Aamir is also the director at this time who has made many films.Aamir Naik has been interested in singing, acting, technology, mobile, computers since childhood, as well as he also takes a lot of interest. He studied till in BE Civil Engineering. Career – He is starting his career as a music video editor, in the past 2016 and current activities in the music industry. He is also known as an actor and music director. Aamir Naik has two brothers Waseem Naik and Sameer Naik and one sister Muskaan Naik.",jammu-jammu-and-kashmir,,,
Aamir Nasir,,dubai-united-arab-emirates,"convertible_note, early_stage_venture, seed",,
Aamir Qutub,GBEA Young Entrepreneur of the Year. Tech Investor & CEO Enterprise Monkey.,geelong-victoria,early_stage_venture,,
Aamir Virani,"Co-Founder and COO of Dropcam.
Aamir is interested in data -- it doesn't matter if it's in hardware, software, or people. Lots of interesting things remain to be learned.",san-francisco-california,,,
